ticker,position_type,entry_time,exit_time,entry_price,exit_price,capital_allocated,shares_traded,profit/loss,% of profit/loss,updated_capital
MSFT,long,2023-01-11 09:53:00-05:00,2023-01-11 15:55:00-05:00,232.23,235.615,97243.66666441878,418.7386068312396,1414.4990138759356,1.4545924299186235,98658.16567829471
NFLX,short,2023-01-12 10:00:00-05:00,2023-01-12 10:10:00-05:00,326.446,329.53,49329.082839147355,151.10947243693397,-467.0793793025548,-0.9468641061614925,98191.08629899216
SNOW,short,2023-01-12 09:39:00-05:00,2023-01-12 10:40:00-05:00,137.59,138.67,49329.082839147355,358.5222969630595,-389.71373679884,-0.7900283450832067,97801.37256219331
TSLA,long,2023-01-13 09:36:00-05:00,2023-01-13 09:40:00-05:00,117.22,116.22,97801.37256219331,834.3403221480405,-840.1807044030768,-0.8590684183586418,96961.19185779024
TSLA,long,2023-01-17 09:36:00-05:00,2023-01-17 15:55:00-05:00,126.68,131.52,48480.59592889512,382.70126246364947,1849.5952014868194,3.815124723713296,98810.78705927706
NFLX,short,2023-01-17 09:49:00-05:00,2023-01-17 15:55:00-05:00,326.665,326.32,48480.59592889512,148.41074473511125,50.16283172047165,0.10346991566284336,98860.94989099754
SNOW,short,2023-01-18 09:43:00-05:00,2023-01-18 10:05:00-05:00,145.09,146.94,98860.94989099754,681.3767309325076,-1265.3165893416626,-1.2798952374388268,97595.63330165588
SCHW,short,2023-01-19 09:38:00-05:00,2023-01-19 09:40:00-05:00,76.48,77.12,97595.63330165588,1276.0935316639104,-825.6325149865507,-0.845972803347281,96770.00078666933
MSFT,short,2023-01-25 09:38:00-05:00,2023-01-25 11:10:00-05:00,233.12,236.285,48385.00039333467,207.5540511038721,-658.3614501014806,-1.3606726149622475,96111.63933656785
NEE,short,2023-01-25 09:39:00-05:00,2023-01-25 15:55:00-05:00,79.975,76.705,48385.00039333467,605.0015679066543,1974.1201160794105,4.080025007814938,98085.75945264727
PANW,long,2023-01-26 09:47:00-05:00,2023-01-26 11:05:00-05:00,156.17,154.0676,98085.75945264727,628.0704325584124,-1324.8517704387082,-1.350707562271876,96760.90768220856
